Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-19 00:00:00+09:00,1774.2828325295352,1802.4207149019733,1767.5681199141472,1769.806396484375,18369600,0.0,0.0
2023-05-22 00:00:00+09:00,1762.4522978998864,1799.2232666015625,1760.5338085034407,1799.2232666015625,12999000,0.0,0.0
2023-05-23 00:00:00+09:00,1806.5774894680658,1837.2733187144172,1789.6307556747788,1800.822021484375,22770300,0.0,0.0
2023-05-24 00:00:00+09:00,1794.427035770983,1821.9254617377655,1792.188876214484,1806.897216796875,13147800,0.0,0.0
2023-05-25 00:00:00+09:00,1797.6244999343755,1816.8093932100892,1794.4269786899913,1803.0601806640625,11946900,0.0,0.0
2023-05-26 00:00:00+09:00,1815.5303493857264,1840.4707104805773,1813.9316473216675,1830.55859375,18830700,0.0,0.0
2023-05-29 00:00:00+09:00,1883.9564992491376,1908.5770729876008,1878.2010313288245,1889.072509765625,23482800,0.0,0.0
2023-05-30 00:00:00+09:00,1898.0253953027461,1903.4611931074635,1880.1195340106008,1900.263671875,16833300,0.0,0.0
2023-05-31 00:00:00+09:00,1876.2825218389164,1877.5615537281035,1786.113525390625,1786.113525390625,50090400,0.0,0.0
2023-06-01 00:00:00+09:00,1812.9724043539356,1854.5397119158615,1812.332946946775,1847.1854248046875,23238600,0.0,0.0
2023-06-02 00:00:00+09:00,1874.0443191203458,1879.160329783307,1847.1854680565723,1864.1322021484375,18164700,0.0,0.0
2023-06-05 00:00:00+09:00,1905.0598603504993,1920.727561879272,1904.1006157078255,1914.33251953125,22406700,0.0,0.0
2023-06-06 00:00:00+09:00,1909.8561835724174,1979.8810461544297,1901.5427685990135,1976.0440673828125,26737200,0.0,0.0
2023-06-07 00:00:00+09:00,1976.044051031962,1982.1191893065538,1924.8842954686238,1936.0755615234375,33065400,0.0,0.0
2023-06-08 00:00:00+09:00,1944.3889483265818,1972.5267139487503,1928.7212463334608,1942.470458984375,20344200,0.0,0.0
2023-06-09 00:00:00+09:00,1970.9280973275265,2014.413776989484,1963.2540229865574,2009.6175537109375,34739700,0.0,0.0
2023-06-12 00:00:00+09:00,2000.0251807143436,2021.448234082923,1997.1474466413733,2010.2572021484375,22479600,0.0,0.0
2023-06-13 00:00:00+09:00,2024.6458938908786,2076.445107751275,2024.0063193599326,2069.0908203125,26881800,0.0,0.0
2023-06-14 00:00:00+09:00,2107.4606073625223,2175.2473109397647,2105.8617881312125,2150.9462890625,40140900,0.0,0.0
2023-06-15 00:00:00+09:00,2145.510703644409,2188.3568103828934,2124.0874160845688,2171.72998046875,35671800,0.0,0.0
2023-06-16 00:00:00+09:00,2169.4917529384343,2229.6042622316363,2154.4635085198383,2214.25634765625,45524400,0.0,0.0
2023-06-19 00:00:00+09:00,2239.5166063346064,2245.5917444385736,2187.717394801209,2219.692138671875,38947200,0.0,0.0
2023-06-20 00:00:00+09:00,2276.607319397405,2345.672937073186,2260.6200640254465,2302.187255859375,56652300,0.0,0.0
2023-06-21 00:00:00+09:00,2271.4914030210066,2325.2091051194766,2267.974094462932,2308.582275390625,33042000,0.0,0.0
2023-06-22 00:00:00+09:00,2299.9490130292643,2383.722968187064,2296.7513747181843,2341.196533203125,46307400,0.0,0.0
2023-06-23 00:00:00+09:00,2382.1241681335723,2382.1241681335723,2196.6702780367914,2238.557373046875,78735000,0.0,0.0
2023-06-26 00:00:00+09:00,2190.595224608556,2239.836374477869,2171.4103306087454,2213.936767578125,44185500,0.0,0.0
2023-06-27 00:00:00+09:00,2209.4601787695497,2238.877093827097,2150.626582845052,2187.077880859375,43748700,0.0,0.0
