Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-29 09:30:00-05:00,193.89999389648438,194.39999389648438,193.80999755859375,194.32000732421875,980479,0.0,0.0
2023-12-29 09:31:00-05:00,194.31500244140625,194.32000732421875,194.0449981689453,194.2675018310547,154150,0.0,0.0
2023-12-29 09:32:00-05:00,194.25999450683594,194.28500366210938,194.13009643554688,194.16000366210938,102228,0.0,0.0
2023-12-29 09:33:00-05:00,194.16000366210938,194.2100067138672,194.02999877929688,194.02999877929688,81664,0.0,0.0
2023-12-29 09:34:00-05:00,194.0500030517578,194.0500030517578,193.89999389648438,194.03089904785156,93988,0.0,0.0
2023-12-29 09:35:00-05:00,194.0399932861328,194.0399932861328,193.8000030517578,193.82000732421875,111877,0.0,0.0
2023-12-29 09:36:00-05:00,193.80999755859375,193.82000732421875,193.63999938964844,193.64999389648438,87786,0.0,0.0
2023-12-29 09:37:00-05:00,193.64999389648438,193.75,193.57000732421875,193.6999969482422,101805,0.0,0.0
2023-12-29 09:38:00-05:00,193.72030639648438,193.7899932861328,193.69000244140625,193.69000244140625,73447,0.0,0.0
2023-12-29 09:39:00-05:00,193.6844940185547,193.7100067138672,193.50999450683594,193.52999877929688,97437,0.0,0.0
2023-12-29 09:40:00-05:00,193.5399932861328,193.58009338378906,193.4300994873047,193.5,92823,0.0,0.0
2023-12-29 09:41:00-05:00,193.47999572753906,193.5998992919922,193.4499969482422,193.52000427246094,95048,0.0,0.0
2023-12-29 09:42:00-05:00,193.52000427246094,193.61000061035156,193.47000122070312,193.58200073242188,71030,0.0,0.0
2023-12-29 09:43:00-05:00,193.57989501953125,193.6199951171875,193.52999877929688,193.53500366210938,49805,0.0,0.0
2023-12-29 09:44:00-05:00,193.53750610351562,193.5800018310547,193.52999877929688,193.55499267578125,49276,0.0,0.0
2023-12-29 09:45:00-05:00,193.5500030517578,193.6699981689453,193.5301055908203,193.64999389648438,91220,0.0,0.0
2023-12-29 09:46:00-05:00,193.66000366210938,193.69000244140625,193.5800018310547,193.5800018310547,92902,0.0,0.0
2023-12-29 09:47:00-05:00,193.5800018310547,193.60000610351562,193.49000549316406,193.49090576171875,92275,0.0,0.0
2023-12-29 09:48:00-05:00,193.49000549316406,193.5800018310547,193.47500610351562,193.52000427246094,74697,0.0,0.0
2023-12-29 09:49:00-05:00,193.52999877929688,193.67999267578125,193.52499389648438,193.6699981689453,76245,0.0,0.0
2023-12-29 09:50:00-05:00,193.6649932861328,193.77999877929688,193.60000610351562,193.74000549316406,104406,0.0,0.0
2023-12-29 09:51:00-05:00,193.72999572753906,193.77000427246094,193.6750030517578,193.75,70723,0.0,0.0
2023-12-29 09:52:00-05:00,193.74000549316406,193.76609802246094,193.67999267578125,193.68499755859375,47744,0.0,0.0
